,Baths,Beds,House size,Location,PriceR
293,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
295,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
296,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
297,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
301,3.0,4.0,200000.0,"Athurugiriya,  Colombo",25000000.0
302,3.0,4.0,275000.0,"Athurugiriya,  Colombo",35000000.0
303,2.0,2.0,140000.0,"Athurugiriya,  Colombo",14800000.0
307,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
308,2.0,3.0,180000.0,"Athurugiriya,  Colombo",23500000.0
309,3.0,5.0,270000.0,"Athurugiriya,  Colombo",27500000.0
311,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
314,4.0,4.0,240000.0,"Athurugiriya,  Colombo",33500000.0
316,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
317,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
318,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
320,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
323,3.0,4.0,275000.0,"Athurugiriya,  Colombo",35000000.0
324,3.0,3.0,140000.0,"Athurugiriya,  Colombo",17500000.0
326,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
330,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
332,2.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
333,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
334,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
340,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
341,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
342,3.0,4.0,281000.0,"Athurugiriya,  Colombo",36000000.0
344,2.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
345,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
346,2.0,3.0,135000.0,"Athurugiriya,  Colombo",14500000.0
351,2.0,4.0,200000.0,"Athurugiriya,  Colombo",29000000.0
352,2.0,2.0,140000.0,"Athurugiriya,  Colombo",14800000.0
353,3.0,3.0,180000.0,"Athurugiriya,  Colombo",19000000.0
354,2.0,3.0,120000.0,"Athurugiriya,  Colombo",12500000.0
355,2.0,3.0,140000.0,"Athurugiriya,  Colombo",15500000.0
360,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
361,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
363,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
369,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
371,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
372,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
373,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
375,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
376,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
379,2.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
380,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
381,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
385,4.0,3.0,320000.0,"Athurugiriya,  Colombo",36000000.0
388,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
389,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
391,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
394,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
399,2.0,4.0,200000.0,"Athurugiriya,  Colombo",29000000.0
400,2.0,2.0,140000.0,"Athurugiriya,  Colombo",14800000.0
401,3.0,3.0,180000.0,"Athurugiriya,  Colombo",19000000.0
402,2.0,3.0,120000.0,"Athurugiriya,  Colombo",12500000.0
403,2.0,3.0,140000.0,"Athurugiriya,  Colombo",15500000.0
411,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
412,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
413,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
415,3.0,4.0,280000.0,"Athurugiriya,  Colombo",34000000.0
416,3.0,4.0,272300.0,"Athurugiriya,  Colombo",35000000.0
417,3.0,4.0,252000.0,"Athurugiriya,  Colombo",38000000.0
418,2.0,2.0,150000.0,"Athurugiriya,  Colombo",18000000.0
419,3.0,4.0,255000.0,"Athurugiriya,  Colombo",29500000.0
420,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
421,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
422,2.0,4.0,280000.0,"Athurugiriya,  Colombo",38000000.0
423,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
426,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
432,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
433,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
434,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
435,2.0,3.0,112000.0,"Athurugiriya,  Colombo",17500000.0
441,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
445,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
446,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
450,3.0,3.0,148000.0,"Athurugiriya,  Colombo",16800000.0
455,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
457,3.0,3.0,180000.0,"Athurugiriya,  Colombo",19600000.0
458,4.0,5.0,206700.0,"Athurugiriya,  Colombo",23000000.0
459,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
461,2.0,3.0,170000.0,"Athurugiriya,  Colombo",20000000.0
462,2.0,3.0,110000.0,"Athurugiriya,  Colombo",14500000.0
464,3.0,4.0,258300.0,"Athurugiriya,  Colombo",32500000.0
467,4.0,5.0,206700.0,"Athurugiriya,  Colombo",23000000.0
469,2.0,3.0,148000.0,"Athurugiriya,  Colombo",16800000.0
470,3.0,3.0,320000.0,"Athurugiriya,  Colombo",52000000.0
471,3.0,3.0,130000.0,"Athurugiriya,  Colombo",14000000.0
472,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
474,2.0,3.0,125000.0,"Athurugiriya,  Colombo",16500000.0
475,4.0,5.0,206700.0,"Athurugiriya,  Colombo",23000000.0
478,4.0,5.0,206700.0,"Athurugiriya,  Colombo",23000000.0
481,1.0,1.0,120000.0,"Athurugiriya,  Colombo",18000000.0
482,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
483,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
485,2.0,4.0,200000.0,"Athurugiriya,  Colombo",29000000.0
486,2.0,2.0,120000.0,"Athurugiriya,  Colombo",16500000.0
487,4.0,3.0,320000.0,"Athurugiriya,  Colombo",36000000.0
489,2.0,3.0,125000.0,"Athurugiriya,  Colombo",16500000.0
492,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
493,3.0,3.0,148000.0,"Athurugiriya,  Colombo",17000000.0
494,2.0,2.0,140000.0,"Athurugiriya,  Colombo",14800000.0
495,3.0,3.0,180000.0,"Athurugiriya,  Colombo",19000000.0
496,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
497,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
498,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
499,2.0,5.0,206700.0,"Athurugiriya,  Colombo",23000000.0
508,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14000000.0
509,2.0,3.0,125000.0,"Athurugiriya,  Colombo",16500000.0
510,2.0,2.0,150000.0,"Athurugiriya,  Colombo",18000000.0
512,4.0,5.0,520000.0,"Athurugiriya,  Colombo",55000000.0
513,1.0,3.0,180000.0,"Athurugiriya,  Colombo",19500000.0
516,2.0,3.0,120000.0,"Athurugiriya,  Colombo",12500000.0
517,2.0,3.0,140000.0,"Athurugiriya,  Colombo",15500000.0
522,1.0,2.0,115000.0,"Athurugiriya,  Colombo",14500000.0
523,4.0,5.0,206700.0,"Athurugiriya,  Colombo",23000000.0
525,1.0,3.0,187200.0,"Athurugiriya,  Colombo",25000000.0
526,3.0,3.0,200000.0,"Athurugiriya,  Colombo",26500000.0
527,3.0,5.0,260000.0,"Athurugiriya,  Colombo",45000000.0
530,3.0,3.0,190000.0,"Athurugiriya,  Colombo",20000000.0
533,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
535,2.0,3.0,110000.0,"Athurugiriya,  Colombo",14500000.0
537,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
538,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
539,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
541,2.0,3.0,130000.0,"Athurugiriya,  Colombo",16500000.0
544,2.0,3.0,200000.0,"Athurugiriya,  Colombo",24000000.0
545,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
546,3.0,3.0,150000.0,"Athurugiriya,  Colombo",21000000.0
550,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
551,1.0,3.0,120000.0,"Athurugiriya,  Colombo",18500000.0
552,4.0,5.0,270000.0,"Athurugiriya,  Colombo",29500000.0
554,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
555,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
558,3.0,4.0,264000.0,"Athurugiriya,  Colombo",36000000.0
560,3.0,4.0,200000.0,"Athurugiriya,  Colombo",26000000.0
561,2.0,5.0,220000.0,"Athurugiriya,  Colombo",34000000.0
564,1.0,4.0,160000.0,"Athurugiriya,  Colombo",18000000.0
565,3.0,3.0,188000.0,"Athurugiriya,  Colombo",19800000.0
567,4.0,4.0,300000.0,"Athurugiriya,  Colombo",33000000.0
573,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
574,2.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
577,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
579,3.0,4.0,255000.0,"Athurugiriya,  Colombo",29500000.0
580,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
581,2.0,2.0,150000.0,"Athurugiriya,  Colombo",18000000.0
585,3.0,3.0,190000.0,"Athurugiriya,  Colombo",20000000.0
587,4.0,3.0,320000.0,"Athurugiriya,  Colombo",36000000.0
588,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
590,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
594,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
595,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
596,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
598,3.0,3.0,188000.0,"Athurugiriya,  Colombo",19800000.0
602,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
606,3.0,4.0,275000.0,"Athurugiriya,  Colombo",35000000.0
607,2.0,4.0,200000.0,"Athurugiriya,  Colombo",24500000.0
614,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
620,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
621,3.0,3.0,150000.0,"Athurugiriya,  Colombo",16500000.0
622,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
623,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
624,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
625,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
630,3.0,4.0,280000.0,"Athurugiriya,  Colombo",34000000.0
631,3.0,4.0,252000.0,"Athurugiriya,  Colombo",38000000.0
635,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
636,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
638,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
641,2.0,2.0,150000.0,"Athurugiriya,  Colombo",18000000.0
643,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
644,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
645,3.0,3.0,180000.0,"Athurugiriya,  Colombo",26500000.0
646,3.0,3.0,148000.0,"Athurugiriya,  Colombo",16500000.0
647,3.0,3.0,158000.0,"Athurugiriya,  Colombo",18500000.0
648,4.0,5.0,285000.0,"Athurugiriya,  Colombo",29500000.0
649,3.0,3.0,100000.0,"Athurugiriya,  Colombo",13500000.0
650,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
651,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
652,3.0,3.0,140000.0,"Athurugiriya,  Colombo",18000000.0
653,3.0,3.0,175000.0,"Athurugiriya,  Colombo",19800000.0
655,2.0,4.0,280000.0,"Athurugiriya,  Colombo",38000000.0
656,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
658,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
659,3.0,3.0,190000.0,"Athurugiriya,  Colombo",19800000.0
660,3.0,3.0,140000.0,"Athurugiriya,  Colombo",15000000.0
661,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
663,1.0,2.0,150000.0,"Athurugiriya,  Colombo",25000000.0
665,3.0,3.0,200000.0,"Athurugiriya,  Colombo",25000000.0
666,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
669,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
672,4.0,5.0,245000.0,"Athurugiriya,  Colombo",36500000.0
674,3.0,3.0,120000.0,"Athurugiriya,  Colombo",14500000.0
676,4.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
678,1.0,1.0,190000.0,"Athurugiriya,  Colombo",17000000.0
679,3.0,3.0,220000.0,"Athurugiriya,  Colombo",25000000.0
681,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
682,2.0,5.0,206700.0,"Athurugiriya,  Colombo",22000000.0
685,4.0,4.0,267500.0,"Athurugiriya,  Colombo",48000000.0
686,4.0,4.0,260000.0,"Athurugiriya,  Colombo",29000000.0
